INDEX,UTM_X,UTM_Y,LON,LAT
313.0000000000000,250241.6347868394800,3688200.9186576018100,126.3175346666670,33.30400017
314.0000000000000,250241.7952804433580,3688200.8026697770700,126.3175364207240,33.30399916
315.0000000000000,250241.9474592589830,3688200.6826922558300,126.3175380869083,33.30399811
316.0000000000000,250242.1027638612430,3688200.5685531562200,126.3175397849660,33.30399712
317.0000000000000,250242.2757938699790,3688200.4767150171100,126.3175416666670,33.30399633
318.0000000000000,250242.4354243690320,3688200.3658712748500,126.3175434101612,33.30399537
319.0000000000000,250242.5846324430310,3688200.2335820705600,126.3175450476190,33.30399421
320.0000000000000,250242.7261037216230,3688200.0968902632600,126.3175466033363,33.30399302
321.0000000000000,250242.8697912766360,3688199.9578990629000,126.3175481834412,33.3039918
322.0000000000000,250243.0087117363290,3688199.8182199415800,126.3175497126657,33.30399057
323.0000000000000,250243.1623131539960,3688199.6951838047300,126.3175513947528,33.3039895
324.0000000000000,250243.3126326680640,3688199.5704318494600,126.3175530422166,33.30398841
325.0000000000000,250243.4775916567590,3688199.4597970806100,126.3175548425926,33.30398745
326.0000000000000,250243.6204399227860,3688199.3270278372800,126.3175564120764,33.30398629
327.0000000000000,250243.7766631949630,3688199.2022904800300,126.3175581227782,33.3039852
328.0000000000000,250243.9194842091820,3688199.0635184710900,126.3175596935617,33.30398398
329.0000000000000,250244.0611062883100,3688198.9309683004400,126.3175612497571,33.30398282
330.0000000000000,250244.2150345802070,3688198.8124837735700,126.3175629341591,33.30398179
331.0000000000000,250244.3548008567590,3688198.6751844910900,126.3175644716836,33.30398058
332.0000000000000,250244.5111139904180,3688198.5573453689000,126.3175661814815,33.30397956
333.0000000000000,250244.6551729496560,3688198.4210269213700,126.3175677647783,33.30397836
334.0000000000000,250244.8173690504330,3688198.3076542601900,126.3175695363896,33.30397738
335.0000000000000,250244.9777852498220,3688198.1938472529900,126.3175712892040,33.30397639
336.0000000000000,250245.1335571394010,3688198.0686586191900,126.3175729951869,33.3039753
337.0000000000000,250245.2949428449500,3688197.9528770349000,126.3175747587239,33.30397429
338.0000000000000,250245.4436218648910,3688197.8228409593000,126.3175763899865,33.30397316
339.0000000000000,250245.5918453682970,3688197.6985289882900,126.3175780154317,33.30397207
340.0000000000000,250245.7155021184000,3688197.5613725232000,126.3175793794770,33.30397086
341.0000000000000,250245.8683509303370,3688197.4395237611600,126.3175810531800,33.3039698
342.0000000000000,250246.0267419229200,3688197.3199425111500,126.3175827857146,33.30396876
343.0000000000000,250246.1922498939380,3688197.2124829380800,126.3175845914606,33.30396783
344.0000000000000,250246.3339772571630,3688197.0764178680300,126.3175861496596,33.30396664
345.0000000000000,250246.4920664503290,3688196.9620061754300,126.3175878774574,33.30396564
346.0000000000000,250246.6370611919840,3688196.8339044982600,126.3175894685419,33.30396452
347.0000000000000,250246.7810738310800,3688196.7034590318800,126.3175910500683,33.30396338
348.0000000000000,250246.9327212089260,3688196.5757728624200,126.3175927123420,33.30396227
349.0000000000000,250247.0834832446120,3688196.4479060145100,126.3175943652847,33.30396115
350.0000000000000,250247.2353583040240,3688196.3299956996900,126.3175960275706,33.30396012
351.0000000000000,250247.3966198063860,3688196.2195384604900,126.3175977883600,33.30395916
352.0000000000000,250247.5404821143310,3688196.1026079505700,126.3175993642172,33.30395814
